,tx_id,rx_id,link_id,distance_km,azimuth_deg,geometry
91,TX_0001,91,TX_0001_RX_0091,1.5,180.0,POINT (-13.407001618713434 9.331437894488952)
92,TX_0001,92,TX_0001_RX_0092,1.5,190.0,POINT (-13.40937174467201 9.33165454537993)
93,TX_0001,93,TX_0001_RX_0093,1.5,200.0,POINT (-13.411667995392946 9.332276677616774)
94,TX_0001,94,TX_0001_RX_0094,1.5,210.0,POINT (-13.41382060688123 9.333285391256927)
95,TX_0001,95,TX_0001_RX_0095,1.5,220.0,POINT (-13.415764177318174 9.334650041028961)
96,TX_0001,96,TX_0001_RX_0096,1.5,230.0,POINT (-13.417439653757528 9.336329166995036)
97,TX_0001,97,TX_0001_RX_0097,1.5,240.0,POINT (-13.418796126242833 9.338271753778585)
98,TX_0001,98,TX_0001_RX_0098,1.5,250.0,POINT (-13.419792374854165 9.340418780157538)
99,TX_0001,99,TX_0001_RX_0099,1.5,260.0,POINT (-13.42039812265754 9.342705011997333)
100,TX_0001,100,TX_0001_RX_0100,1.5,270.0,POINT (-13.420594956426758 9.345060984094227)
101,TX_0001,101,TX_0001_RX_0101,1.5,280.0,POINT (-13.420376887069427 9.347415110743366)
102,TX_0001,102,TX_0001_RX_0102,1.5,290.0,POINT (-13.419750532614842 9.349695860915102)
103,TX_0001,103,TX_0001_RX_0103,1.5,300.0,POINT (-13.41873491808177 9.351833931938668)
104,TX_0001,104,TX_0001_RX_0104,1.5,310.0,POINT (-13.417360898191927 9.353764355617242)
105,TX_0001,105,TX_0001_RX_0105,1.5,320.0,POINT (-13.415670220375237 9.355428472734642)
106,TX_0001,106,TX_0001_RX_0106,1.5,330.0,POINT (-13.413714256474824 9.356775715901374)
107,TX_0001,107,TX_0001_RX_0107,1.5,340.0,POINT (-13.411552441665945 9.35776514650687)
108,TX_0001,108,TX_0001_RX_0108,1.5,350.0,POINT (-13.409250468042034 9.358366699019207)
109,TX_0001,109,TX_0001_RX_0109,2.0,0.0,POINT (-13.406857696313264 9.363082790646727)
