;tx_id;rx_id;link_id;distance_km;azimuth_deg;geometry
126;TX_0001;127;TX_0001_RX_0127;4;180;POINT (-13.407104108903953 9.3088343614895)
127;TX_0001;128;TX_0001_RX_0128;4;190;POINT (-13.413424057081285 9.309411994248284)
128;TX_0001;129;TX_0001_RX_0129;4;200;POINT (-13.419547076270053 9.311070854503798)
129;TX_0001;130;TX_0001_RX_0130;4;210;POINT (-13.425287167157968 9.313760561499418)
130;TX_0001;131;TX_0001_RX_0131;4;220;POINT (-13.430469949752393 9.317399418030336)
131;TX_0001;132;TX_0001_RX_0132;4;230;POINT (-13.434937958249051 9.321876889404761)
132;TX_0001;133;TX_0001_RX_0133;4;240;POINT (-13.438555424280938 9.32705695838313)
133;TX_0001;134;TX_0001_RX_0134;4;250;POINT (-13.441212403367384 9.332782254583103)
134;TX_0001;135;TX_0001_RX_0135;4;260;POINT (-13.442828119047872 9.338878833285571)
135;TX_0001;136;TX_0001_RX_0136;4;270;POINT (-13.44335342267733 9.345161458777302)
136;TX_0001;137;TX_0001_RX_0137;4;280;POINT (-13.442772293498523 9.351439231927607)
137;TX_0001;138;TX_0001_RX_0138;4;290;POINT (-13.441102332611097 9.357521391100812)
138;TX_0001;139;TX_0001_RX_0139;4;300;POINT (-13.438394234964404 9.363223110090294)
139;TX_0001;140;TX_0001_RX_0140;4;310;POINT (-13.434730254594541 9.368371116705651)
140;TX_0001;141;TX_0001_RX_0141;4;320;POINT (-13.430221709057024 9.372808960971204)
141;TX_0001;142;TX_0001_RX_0142;4;330;POINT (-13.425005598425834 9.376401772455072)
142;TX_0001;143;TX_0001_RX_0143;4;340;POINT (-13.419240441417033 9.379040361733932)
143;TX_0001;144;TX_0001_RX_0144;4;350;POINT (-13.413101455290287 9.380644540944768)
144;TX_0001;145;TX_0001_RX_0145;5;0;POINT (-13.40673392912212 9.39020694075568)
145;TX_0001;146;TX_0001_RX_0146;5;10;POINT (-13.398832243449812 9.389484435495888)
146;TX_0001;147;TX_0001_RX_0147;5;20;POINT (-13.391177043024113 9.387410141789763)
147;TX_0001;148;TX_0001_RX_0148;5;30;POINT (-13.384000999128965 9.384047122307113)
148;TX_0001;149;TX_0001_RX_0149;5;40;POINT (-13.377522198993415 9.379497605490984)
149;TX_0001;150;TX_0001_RX_0150;5;50;POINT (-13.371937513659555 9.373899873932238)
